Date,Open,High,Low,Close,Volume,S_3,S_9,predicted_gold_price,signal
2020-06-11,163.35000610351562,164.05999755859375,161.97000122070312,162.38999938964844,11673900,162.40666707356772,161.3433346218533,162.70029740678567,No Position
2020-06-12,163.41000366210938,163.8800048828125,162.55999755859375,162.6199951171875,6895400,162.86000061035156,161.22777811686197,163.20211587425453,Buy
2020-06-15,160.52000427246094,162.55999755859375,160.16000366210938,162.3300018310547,8532500,162.44666544596353,161.1977776421441,162.75582731847007,No Position
2020-06-16,161.85000610351562,162.69000244140625,161.36000061035156,162.25,7964000,162.3999989827474,161.49222140842014,162.6806793440792,No Position
2020-06-17,162.0,162.6199951171875,161.77000427246094,162.55999755859375,4758200,162.37999979654947,161.63444349500867,162.6471410015509,No Position
2020-06-18,162.1999969482422,162.32000732421875,161.44000244140625,162.24000549316406,5397600,162.3500010172526,162.1044447157118,162.57549467168369,No Position
2020-06-19,162.8699951171875,164.08999633789062,162.77999877929688,164.02999877929688,12187400,162.9433339436849,162.58333333333334,163.17989800666305,Buy
2020-06-22,165.05999755859375,165.72999572753906,164.41000366210938,165.08999633789062,12385600,163.7866668701172,163.00888909233942,164.0601752813854,Buy
2020-06-23,165.6300048828125,166.52000427246094,165.52000427246094,166.47999572753906,12137300,165.1999969482422,163.33222113715277,165.56783123468114,Buy
2020-06-24,166.00999450683594,166.99000549316406,165.4499969482422,165.89999389648438,10901400,165.82332865397134,163.7222205268012,166.21219609332226,Buy
2020-06-25,165.88999938964844,165.91000366210938,165.16000366210938,165.8000030517578,7093800,166.05999755859375,164.07555474175348,166.43978626588753,Buy
2020-06-26,164.8699951171875,166.55999755859375,164.22000122070312,166.5399932861328,9753500,166.07999674479166,164.5433315700955,166.42261065090776,No Position
2020-06-29,166.55999755859375,166.8000030517578,166.17999267578125,166.6300048828125,6735700,166.32333374023438,165.02999877929688,166.64635575924288,Buy
2020-06-30,166.30999755859375,167.99000549316406,166.19000244140625,167.3699951171875,12762300,166.84666442871094,165.56444295247397,167.170134708659,Buy
2020-07-01,167.0500030517578,167.05999755859375,165.33999633789062,166.6199951171875,13214800,166.87333170572916,166.05110846625433,167.1586286755771,No Position
2020-07-02,166.1999969482422,167.24000549316406,166.02000427246094,166.97999572753906,8753500,166.98999532063803,166.3788859049479,167.25804665573395,Buy
2020-07-06,167.75,168.0,167.19000244140625,167.97999572753906,7265700,167.19332885742188,166.6999969482422,167.45212158715816,Buy
2020-07-07,167.41000366210938,169.0399932861328,167.3800048828125,169.0399932861328,11633100,167.99999491373697,166.98444112141928,168.30431915066796,Buy
2020-07-08,170.32000732421875,170.86000061035156,169.77999877929688,170.08999633789062,11662700,169.03666178385416,167.4499969482422,169.39118514336582,Buy
2020-07-09,170.47999572753906,170.63999938964844,168.77999877929688,169.6300048828125,13327400,169.58666483561197,167.87555270724826,169.9529766154733,Buy
2020-07-10,169.9499969482422,170.14999389648438,168.57000732421875,169.19000244140625,8218000,169.63666788736978,168.1699981689453,169.98278837882867,Buy
2020-07-13,170.2899932861328,170.4199981689453,169.16000366210938,169.39999389648438,11095900,169.40666707356772,168.47777472601996,169.70747486759575,No Position
2020-07-14,168.97000122070312,170.1999969482422,168.80999755859375,170.19000244140625,9812700,169.59333292643228,168.7911088731554,169.884099250827,Buy
2020-07-15,169.6199951171875,170.42999267578125,169.38999938964844,170.33999633789062,7533800,169.9766642252604,169.2044423421224,170.26594135850047,Buy
2020-07-16,169.8000030517578,170.0,168.64999389648438,168.72999572753906,10242400,169.75333150227866,169.39888678656683,170.0072899732025,No Position
2020-07-17,169.94000244140625,170.27000427246094,169.61000061035156,170.1199951171875,10296000,169.72999572753906,169.63666449652777,169.96218461408404,No Position
2020-07-20,170.75999450683594,171.07000732421875,170.27000427246094,170.94000244140625,10095500,169.92999776204428,169.84777662489148,170.1617874000081,Buy
2020-07-21,172.52999877929688,173.25,172.30999755859375,173.0,12826100,171.35333251953125,170.17111036512586,171.68030589157806,Buy
